# acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00;-1.000000000000000000e+00
